period,qty_pays,qty_pay_online,qty_pay_adjust,qty_bills,%_pay_online,pay_online_growth_potential,total_pays/bill,total_online_pays/bill
2022-01-01,265021,32698,27068,297030.0,13.741369093896694,205255,0.8011076322257011,0.11008315658351009
2022-02-01,276403,33765,30722,304563.0,13.743431522991195,211916,0.8066672576773936,0.11086376217728351
2022-03-01,281765,34404,30413,311705.0,13.687577580444954,216948,0.8063778251872764,0.11037359041401325
2022-04-01,294409,36530,31779,319994.0,13.909302059932225,226100,0.8207341387651018,0.1141583904698213
2022-05-01,296380,36192,30718,328768.0,13.623325880253855,229470,0.8080530951917462,0.11008370644344949
2022-06-01,305241,38023,32642,334376.0,13.94832702981302,234576,0.8152469076727995,0.1137133047826399
2022-07-01,318801,39472,35550,347615.0,13.935343564541697,243779,0.8148411317118076,0.1135509112092401
2022-08-01,330936,41280,36304,363087.0,14.010698091178147,253352,0.8114639191158042,0.11369175982615737
2022-09-01,341998,42498,36613,377464.0,13.916204135763053,262887,0.8090440412860564,0.11258822033359472
2022-10-01,347655,43467,36512,386410.0,13.9701037786484,267676,0.8052146683574442,0.11248932481043451
2022-11-01,298593,42821,34473,386819.0,16.212706345600484,221299,0.6827999658755128,0.11070035339525722
2022-12-01,30078,5519,4238,123598.0,21.358359133126935,20321,0.2090648715998641,0.04465282609750967
